Timestamp,Area Name,How Badly your area is affected?,Type of your Residence,How badly you are personally affected,How was the Government's response
12/2/2015 2:41:29,OTTERI,Bad,Huts,Bad,Average
12/2/2015 2:56:26,Kesavardhini,Bad,Apartment,Bad,Pathetic
12/2/2015 3:26:09,Alwarthirunagar,Bad,Individual House,Bad,Pathetic
12/2/2015 3:37:34,Kalaimagal nagar,Average,Apartment,Average,Average
12/2/2015 3:47:00,Annanagar East,Average,Apartment,Not al All,Good
12/2/2015 4:31:52,Thirumullaivoyal,Not at All,Individual House,Not al All,Pathetic
12/2/2015 4:34:39,WEST K K NAGAR,Bad,Individual House,Bad,Pathetic
12/2/2015 5:10:48,Tambaram,Bad,Apartment,Bad,Pathetic
12/2/2015 5:39:01,Kondithope,Bad,Individual House,Average,Pathetic
12/2/2015 6:06:52,ThenAruvi Street Rajaji Nagar Villivakkam 600049,Average,Individual House,Average,Average
12/2/2015 6:58:57,K K Nagar,Bad,Apartment,Average,Average
12/2/2015 7:27:24,Anna nagar West,Bad,Individual House,Average,Pathetic
12/2/2015 7:31:09,korattur,Bad,Individual House,Bad,Pathetic
12/2/2015 7:41:57,Kolathur,Bad,Individual House,Average,Average
12/2/2015 7:46:53,"S kolathur,naranapuram prime rose appartment  pallaikaranai ",Bad,Apartment,Bad,Average
12/2/2015 8:22:22,west tambaram,Average,Apartment,Not al All,Pathetic
12/2/2015 8:24:14,Chinmaya Nagar,Average,Apartment,Average,Pathetic
12/2/2015 8:44:51,"Purasaiwalkkam, chennai",Bad,Individual House,Bad,Pathetic
12/2/2015 8:46:07,Villivakkam,Bad,Apartment,Not al All,Average
12/2/2015 8:54:57,Thayur,Bad,Apartment,Average,Pathetic
12/2/2015 8:58:06,Pallipattu Tharamani,Bad,Individual House,Bad,Pathetic
12/2/2015 9:31:28,PALAVAKKAM,Bad,Individual House,Bad,Pathetic
12/2/2015 9:39:59,Velachery,Bad,Apartment,Bad,Pathetic
12/2/2015 9:40:20,nungambakam railway station,Bad,Individual House,Bad,Pathetic
12/2/2015 10:04:37,Kolathur,Bad,Apartment,Bad,Pathetic
12/2/2015 10:06:21,Sholinganallur ,Bad,Apartment,Average,Pathetic
12/2/2015 10:55:21,nungambakkam lake atea,Average,Apartment,Average,Average
12/2/2015 10:57:50,KORATTUR,Bad,Individual House,Bad,Pathetic
12/2/2015 11:01:30,Sanatorium,Not at All,Apartment,Not al All,Average
12/2/2015 11:41:05,Villivakkam,Bad,Individual House,Bad,Average
12/2/2015 11:47:06,Pudur,Average,Individual House,Bad,Good
12/2/2015 12:12:26,Indian Institute of Technology,Bad,Apartment,Bad,Average
12/2/2015 12:30:26,ice house,Average,Apartment,Not al All,Good
12/2/2015 12:47:13,chromepet,Average,Individual House,Average,Average
12/2/2015 13:06:41,anna nagar,Average,Individual House,Bad,Pathetic
12/2/2015 13:40:04,Guduvanchery,Average,Apartment,Average,Average
12/2/2015 13:46:05,Anna nagar,Bad,Apartment,Average,Pathetic
12/2/2015 14:57:20,Nungambakkam ,Average,Individual House,Average,Average
12/2/2015 14:57:31,Kolathur,Bad,Individual House,Average,Pathetic
12/2/2015 16:40:59,kavaraipettai,Bad,Huts,Average,Pathetic
12/2/2015 16:45:33,Koyambedu,Bad,Individual House,Average,Average
12/2/2015 17:39:24,Kamarajpuram ( Sembakkam),Bad,Apartment,Bad,Pathetic
12/2/2015 18:57:09,Choolaimedu High Road,Not at All,Apartment,Not al All,Average
12/2/2015 19:19:14,AnnaNagar ,Bad,Individual House,Bad,Pathetic
12/2/2015 19:20:25,Mylapore ,Average,Individual House,Not al All,Pathetic
12/2/2015 19:42:59,Santhoshapuram,Average,Individual House,Average,Pathetic
12/2/2015 19:58:27,Velachery Vijayanagar,Bad,Apartment,Average,Pathetic
12/2/2015 21:39:12,Pammal,Average,Apartment,Average,Average
12/2/2015 23:07:03,Nungambakam ,Average,Apartment,Average,Pathetic
12/2/2015 23:36:54,Ayanavaram ,Not at All,Apartment,Average,Average
12/3/2015 0:21:40,mugappair,Average,Individual House,Not al All,Average
12/3/2015 1:00:32,Urappakam,Bad,Apartment,Bad,Pathetic
12/3/2015 2:28:47,Seven wells,Average,Individual House,Bad,Pathetic
12/3/2015 2:44:05,perambur ,Average,Individual House,Average,Average
12/3/2015 7:57:29,Shollinganallur ,Bad,Apartment,Bad,Average
12/3/2015 7:58:39,Thiruvattriyur,Bad,Individual House,Bad,Pathetic
12/3/2015 12:04:50,Old washermenpet,Average,Apartment,Average,Pathetic
12/3/2015 12:09:59,Urappakkam  pincode - 603211 ,Bad,Individual House,Average,Average
12/3/2015 14:15:59,Minjur,Bad,Individual House,Bad,Pathetic
12/4/2015 11:37:01,Korukkupet,Bad,Individual House,Bad,Average
