Timestamp,Area Name,How Badly your area is affected?,Type of your Residence,How badly you are personally affected,How was the Government's response
12/1/2015 17:50:52,Choolaimedu ,Average,Huts,Average,Pathetic
12/1/2015 17:50:55,pondicherry,Average,Individual House,Average,Pathetic
12/1/2015 17:50:58,Uthukottai,Bad,Individual House,Bad,Average
12/1/2015 17:51:04,Jalldianpet,Bad,Individual House,Average,Average
12/1/2015 17:51:12,Velachery,Bad,Apartment,Average,Pathetic
12/1/2015 17:51:19,Coimbatore ,Not at All,Individual House,Not al All,Average
12/1/2015 17:51:29,Santhosapuram,Average,Individual House,Average,Pathetic
12/1/2015 17:51:31,choolaimedu,Average,Apartment,Not al All,Pathetic
12/1/2015 17:51:33,Alandur,Average,Apartment,Average,Pathetic
12/1/2015 17:51:40,Tnagar,Bad,Apartment,Bad,Average
12/1/2015 17:51:52,"kalathumettu street, chengalpattu",Average,Individual House,Average,Pathetic
12/1/2015 17:51:54,Venkatesh,Bad,Apartment,Average,Average
12/1/2015 17:51:55,Mandaveli,Bad,Individual House,Bad,Average
12/1/2015 17:52:06,"Bricklin Road, Purusawakkam",Bad,Apartment,Bad,Average
12/1/2015 17:52:28,Dhasaradhapuram VOC Street,Bad,Apartment,Average,Pathetic
12/1/2015 17:52:29,Anna Nagar East,Average,Individual House,Not al All,Average
12/1/2015 17:52:33,"Bricklin Road, Purusawakkam ",Bad,Apartment,Bad,Pathetic
12/1/2015 17:52:38,East Tambaram,Bad,Individual House,Bad,Pathetic
12/1/2015 17:52:41,kavarapateii,Bad,Huts,Bad,Pathetic
12/1/2015 17:52:43,Adambakkam,Bad,Individual House,Average,Pathetic
12/1/2015 17:52:45,besent nagar ,Bad,Individual House,Bad,Good
12/1/2015 17:53:46,Injambakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 17:53:57,Nepiar Bridge,Average,Apartment,Average,Average
12/1/2015 17:54:04,Kolathur,Average,Individual House,Average,Pathetic
12/1/2015 17:54:07,annanagar west ,Average,Apartment,Average,Good
12/1/2015 17:54:08,kavaripetai,Bad,Individual House,Average,Average
12/1/2015 17:54:11,Ayanavaram,Average,Individual House,Average,Good
12/1/2015 17:54:30,No.5 patchiyappan colony second cr.st zamin pallavaram.,Bad,Individual House,Bad,Pathetic
12/1/2015 17:54:37,Ambattur,Average,Apartment,Average,Pathetic
12/1/2015 17:54:41,Padur,Bad,Apartment,Not al All,Pathetic
12/1/2015 17:55:21,Thiruvanmiyur,Average,Apartment,Average,Average
12/1/2015 17:55:40,Vellacherry,Bad,Individual House,Bad,Average
12/1/2015 17:55:43,Kilpauk Garden Colony,Average,Apartment,Not al All,Pathetic
12/1/2015 17:56:12,Vadapalani,Average,Apartment,Not al All,Average
12/1/2015 17:56:25,kolathur,Average,Apartment,Not al All,Average
12/1/2015 17:56:34,chengalpattu,Bad,Individual House,Average,Average
12/1/2015 17:56:49,K.K.NAGAR,Bad,Apartment,Average,Pathetic
12/1/2015 17:57:08,Valasaravakkam ,Average,Individual House,Bad,Pathetic
12/1/2015 17:57:13,kolathur,Average,Apartment,Not al All,Average
12/1/2015 17:57:34,West mambalam,Bad,Apartment,Bad,Pathetic
12/1/2015 17:57:38,Anna Nagar ,Bad,Individual House,Bad,Pathetic
12/1/2015 17:57:47,TEYNAMPET,Average,Apartment,Not al All,Good
12/1/2015 17:57:51,Janapathchatram kut road,Bad,Individual House,Bad,Pathetic
12/1/2015 17:58:13,Triplicane,Average,Individual House,Average,Average
12/1/2015 17:58:28,Choolaimedu ,Average,Apartment,Average,Pathetic
12/1/2015 17:58:41,Madipakkam,Bad,Apartment,Bad,Pathetic
12/1/2015 17:59:00,T.Nagar,Average,Apartment,Average,Average
12/1/2015 17:59:02,Madavakka,Bad,Apartment,Bad,Pathetic
12/1/2015 17:59:09,Anna Nagar,Average,Individual House,Average,Pathetic
12/1/2015 17:59:09,porur lakshmi nagar,Bad,Individual House,Bad,Pathetic
12/1/2015 17:59:26,Kumaaran theater ,Bad,Apartment,Bad,Pathetic
12/1/2015 17:59:39,Chennai,Not at All,Apartment,Average,Pathetic
12/1/2015 18:00:50,moolakadai,Average,Individual House,Average,Pathetic
12/1/2015 18:00:57,Ernavoor North Chennai,Not at All,Individual House,Not al All,Pathetic
12/1/2015 18:00:59,Anna nagar (tower park side),Average,Individual House,Bad,Average
12/1/2015 18:01:09,mogappair east,Bad,Individual House,Average,Average
12/1/2015 18:01:51,Rostrevor Garden,Not at All,Apartment,Not al All,Average
12/1/2015 18:01:51,perambur,Bad,Apartment,Bad,Pathetic
12/1/2015 18:01:53,Anna nagar east,Average,Individual House,Average,Average
12/1/2015 18:01:58,Thiruvanmiyur,Average,Apartment,Bad,Average
12/1/2015 18:02:14,nungambakkam,Average,Apartment,Bad,Pathetic
12/1/2015 18:02:27,Old Washermenper,Average,Individual House,Average,Average
12/1/2015 18:02:41,nanganallur,Bad,Apartment,Average,Pathetic
12/1/2015 18:03:04,K.K. Nagar,Bad,Individual House,Bad,Average
12/1/2015 18:03:15,R.S.M. nagar,Bad,Individual House,Average,Pathetic
12/1/2015 18:03:21,villivakkam ,Bad,Apartment,Bad,Average
12/1/2015 18:03:28,Saligramam,Bad,Apartment,Bad,Pathetic
12/1/2015 18:03:36,Gudvancherry,Bad,Apartment,Average,Average
12/1/2015 18:04:06,Thirumangalam,Bad,Apartment,Bad,Pathetic
12/1/2015 18:04:28,Perumbakkam to sholinganallore and OMR,Bad,Individual House,Average,Good
12/1/2015 18:04:29,kelambakkam,Average,Apartment,Bad,Pathetic
12/1/2015 18:04:35,Perumbakkam to sholinganallore and OMR,Bad,Individual House,Average,Good
12/1/2015 18:04:40,Old washermanpet ,Average,Apartment,Not al All,Average
12/1/2015 18:05:07,adambakkam ,Bad,Apartment,Average,Pathetic
12/1/2015 18:05:27,THAMBARAM,Bad,Individual House,Bad,Pathetic
12/1/2015 18:06:28,Choolai,Average,Apartment,Not al All,Pathetic
12/1/2015 18:06:39,Virugumbakkam,Average,Apartment,Average,Pathetic
12/1/2015 18:06:41,Divya,Not at All,Individual House,Average,Average
12/1/2015 18:07:13,Ashok nagar,Average,Individual House,Average,Average
12/1/2015 18:07:16,Medavakkam,Bad,Individual House,Average,Average
12/1/2015 18:07:52,Alwarthirunagar,Average,Individual House,Average,Pathetic
12/1/2015 18:08:00,kodungaiyur,Not at All,Individual House,Not al All,Good
12/1/2015 18:08:16,Keelkattalai,Bad,Apartment,Average,Average
12/1/2015 18:08:19,Selaiyur ,Bad,Individual House,Average,Pathetic
12/1/2015 18:09:17,alwarthiru nagar,Bad,Individual House,Bad,Pathetic
12/1/2015 18:09:24,Avadi,Bad,Individual House,Average,Pathetic
12/1/2015 18:09:44,SOWCARPET,Bad,Individual House,Average,Average
12/1/2015 18:10:17,pallavaram,Bad,Apartment,Bad,Pathetic
12/1/2015 18:10:54,Pattabiram,Bad,Individual House,Average,Average
12/1/2015 18:10:57,tambaram,Bad,Individual House,Bad,Pathetic
12/1/2015 18:10:59,tambaram,Bad,Individual House,Bad,Pathetic
12/1/2015 18:11:21,T nagar,Bad,Individual House,Bad,Average
12/1/2015 18:11:31,Anna nagar,Average,Individual House,Average,Good
12/1/2015 18:12:03,Sembakkam,Average,Apartment,Average,Pathetic
12/1/2015 18:12:52,Permabur ,Bad,Individual House,Bad,Pathetic
12/1/2015 18:13:30,Anna Nagar Y Block Main Road ,Not at All,Apartment,Not al All,Good
12/1/2015 18:13:54,Ambattur,Average,Apartment,Average,Pathetic
12/1/2015 18:14:06,shollinganallur,Bad,Apartment,Bad,Pathetic
12/1/2015 18:14:14,Thiruneermalai ,Bad,Individual House,Bad,Pathetic
12/1/2015 18:14:17,Royapuram,Bad,Apartment,Bad,Pathetic
12/1/2015 18:15:19,thoraipakkam,Bad,Apartment,Average,Average
12/1/2015 18:15:22,Teynampet,Average,Apartment,Bad,Pathetic
12/1/2015 18:15:28,Teynampet,Average,Apartment,Bad,Pathetic
12/1/2015 18:15:30,Singapermal Koil,Bad,Apartment,Bad,Pathetic
12/1/2015 18:15:30,Singapermal Koil,Bad,Apartment,Bad,Pathetic
12/1/2015 18:15:41,teynampet,Average,Individual House,Not al All,Pathetic
12/1/2015 18:16:45,Thiruvottiyur,Average,Individual House,Not al All,Average
12/1/2015 18:17:04,PERAMBUR,Average,Apartment,Average,Good
12/1/2015 18:17:13,Annanagar,Average,Individual House,Not al All,Average
12/1/2015 18:17:40,Porur,Bad,Individual House,Average,Pathetic
12/1/2015 18:18:19,west mambalam,Bad,Apartment,Bad,Pathetic
12/1/2015 18:18:24,Ashok nagar,Average,Apartment,Average,Pathetic
12/1/2015 18:18:29,Kilpauk ,Average,Individual House,Average,Average
12/1/2015 18:18:49,Madipakkam,Bad,Apartment,Average,Pathetic
12/1/2015 18:20:27,Vellachery,Bad,Apartment,Bad,Pathetic
12/1/2015 18:20:56,annanagar,Bad,Individual House,Bad,Pathetic
12/1/2015 18:20:56,Choolaimedu,Not at All,Apartment,Not al All,Average
12/1/2015 18:21:09,Ayanavaram,Average,Individual House,Not al All,Average
12/1/2015 18:21:28,Semmanchery,Bad,Huts,Bad,Pathetic
12/1/2015 18:21:31,Periamet,Average,Individual House,Average,Average
12/1/2015 18:21:32,Shollinganallur,Bad,Apartment,Average,Pathetic
12/1/2015 18:21:55,Semmacherry,Bad,Huts,Bad,Pathetic
12/1/2015 18:22:16,Velachery,Bad,Apartment,Average,Pathetic
12/1/2015 18:22:25,Mudichur,Bad,Individual House,Bad,Pathetic
12/1/2015 18:22:34,East tambaram,Bad,Apartment,Bad,Pathetic
12/1/2015 18:22:55,Ashoak nagar,Average,Apartment,Not al All,Pathetic
12/1/2015 18:23:03,KILPAUK,Average,Apartment,Average,Pathetic
12/1/2015 18:23:18,Kundrathur,Average,Individual House,Average,Pathetic
12/1/2015 18:23:21,Anna Nagar east,Average,Apartment,Not al All,Pathetic
12/1/2015 18:23:35,Chetpet,Not at All,Individual House,Not al All,Average
12/1/2015 18:23:39,chennai,Bad,Individual House,Bad,Average
12/1/2015 18:23:48,"Panayur, ECR",Bad,Individual House,Bad,Pathetic
12/1/2015 18:23:53,MIT nagar Kumarapuram chromepet,Average,Apartment,Average,Average
12/1/2015 18:24:10,Besant Nagar,Average,Apartment,Average,Average
12/1/2015 18:27:14,Valasaravakkam ,Bad,Individual House,Bad,Average
12/1/2015 18:29:00,Perungudi,Average,Individual House,Not al All,Average
12/1/2015 18:29:21,Adyar ,Average,Apartment,Average,Pathetic
12/1/2015 18:29:24,Tondiarpet,Average,Individual House,Bad,Pathetic
12/1/2015 18:29:41,kilpauk,Average,Apartment,Average,Average
12/1/2015 18:29:53,"Thirumangalam Road, Villivakkam",Average,Apartment,Average,Pathetic
12/1/2015 18:29:55,Broadway,Bad,Individual House,Bad,Pathetic
12/1/2015 18:30:03,Valasaravakkam ,Bad,Individual House,Average,Pathetic
12/1/2015 18:31:08,Anna nagar west extension ,Average,Apartment,Average,Good
12/1/2015 18:31:15,Padiyanallur,Bad,Huts,Average,Pathetic
12/1/2015 18:32:27,"Mudichur, Madhanapuram.",Bad,Individual House,Bad,Average
12/1/2015 18:32:56,Pondicherry,Average,Individual House,Average,Good
12/1/2015 18:33:02,Adambakkam,Average,Apartment,Not al All,Good
12/1/2015 18:33:08,Villivakkam ,Bad,Individual House,Bad,Pathetic
12/1/2015 18:33:10,18th Main Road,Bad,Apartment,Bad,Average
12/1/2015 18:33:14,Jafferkhanpet ,Average,Individual House,Average,Pathetic
12/1/2015 18:33:59,choolaimedu,Average,Individual House,Average,Average
12/1/2015 18:35:40,ALWARPET,Average,Apartment,Not al All,Good
12/1/2015 18:35:47,R.sudharshun ,Average,Apartment,Average,Pathetic
12/1/2015 18:36:37,velachery,Bad,Individual House,Bad,Average
12/1/2015 18:37:11,"Kamaraj nagar, Thiruvanmiyur",Average,Apartment,Not al All,Pathetic
12/1/2015 18:37:33,"Annanagar West, 18th main road",Bad,Individual House,Average,Average
12/1/2015 18:37:36,Saidapet,Average,Individual House,Not al All,Pathetic
12/1/2015 18:38:16,Thillai Ganga Nagar,Bad,Individual House,Average,Pathetic
12/1/2015 18:38:50,Mannady,Average,Apartment,Average,Pathetic
12/1/2015 18:39:22,Anna nagar,Average,Apartment,Average,Average
12/1/2015 18:40:30,Ashok Nagar,Bad,Apartment,Bad,Pathetic
12/1/2015 18:41:33,Nungabakkam,Average,Individual House,Bad,Pathetic
12/1/2015 18:41:49,velapanchavadi,Average,Apartment,Bad,Pathetic
12/1/2015 18:42:41,Anna Nagar,Average,Individual House,Not al All,Pathetic
12/1/2015 18:42:41,Kodambakkam ,Average,Individual House,Average,Pathetic
12/1/2015 18:42:46,Chinmaya nagar,Average,Individual House,Average,Pathetic
12/1/2015 18:42:57,Anna nagar,Bad,Apartment,Average,Pathetic
12/1/2015 18:44:00,"Nesapakkam, west kk nagar.",Average,Individual House,Average,Average
12/1/2015 18:44:15,nungabakkam,Not at All,Apartment,Not al All,Good
12/1/2015 18:47:02,Tondiarpet,Bad,Individual House,Bad,Good
12/1/2015 18:47:16,nungambakkam,Bad,Apartment,Average,Pathetic
12/1/2015 18:47:19,vettuvankeni,Bad,Individual House,Bad,Pathetic
12/1/2015 18:48:01,Tnagar ,Bad,Individual House,Bad,Pathetic
12/1/2015 18:48:04,Velachery,Bad,Apartment,Bad,Pathetic
12/1/2015 18:48:24,Saligramam,Bad,Apartment,Bad,Pathetic
12/1/2015 18:48:25,Saligramam,Bad,Apartment,Bad,Pathetic
12/1/2015 18:48:26,"BHEL, Ranipet",Average,Apartment,Not al All,Good
12/1/2015 18:48:37,AnnaNagar,Average,Individual House,Average,Average
12/1/2015 18:48:50,"Murugu nagar extension velachery, jains apartments",Bad,Apartment,Bad,Pathetic
12/1/2015 18:50:59,Ashok Nagar ,Average,Apartment,Average,Pathetic
12/1/2015 18:51:47,"MMDA, Arumbakkam",Bad,Individual House,Bad,Pathetic
12/1/2015 18:52:25,mogappair,Not at All,Individual House,Bad,Pathetic
12/1/2015 18:52:51,fuck you,Bad,Huts,Bad,Pathetic
12/1/2015 18:53:39,Ayanavaram,Bad,Individual House,Average,Average
12/1/2015 18:53:49,Sembakkam - Durga Colony,Not at All,Apartment,Not al All,Average
12/1/2015 18:55:13,royapettah,Average,Apartment,Average,Pathetic
12/1/2015 18:55:15,poonamallee,Bad,Individual House,Bad,Pathetic
12/1/2015 18:56:38,Vincent jos,Bad,Individual House,Bad,Pathetic
12/1/2015 18:57:40,Choolaimedu,Bad,Apartment,Bad,Pathetic
12/1/2015 18:58:33,Anna nagar ,Average,Apartment,Average,Average
12/1/2015 19:00:06,old washermenpet,Not at All,Individual House,Not al All,Pathetic
12/1/2015 19:01:17,Tiruvottiyur,Average,Individual House,Bad,Pathetic
12/1/2015 19:01:58,gandhinagar,Not at All,Apartment,Average,Pathetic
12/1/2015 19:02:16,Kodambakkam,Average,Apartment,Bad,Average
12/1/2015 19:03:04,Kotturpuram,Bad,Apartment,Bad,Average
12/1/2015 19:03:41,Mugaliwakkam ,Bad,Individual House,Bad,Pathetic
12/1/2015 19:03:53,East chromepet,Average,Individual House,Not al All,Pathetic
12/1/2015 19:03:54,Mogappair ,Average,Individual House,Not al All,Good
12/1/2015 19:04:26,East chromepet,Average,Individual House,Not al All,Pathetic
12/1/2015 19:05:09,West chromepet,Bad,Individual House,Bad,Pathetic
12/1/2015 19:05:10,West chromepet,Bad,Individual House,Bad,Pathetic
12/1/2015 19:05:35,Thiruvottiyur,Bad,Individual House,Bad,Pathetic
12/1/2015 19:05:45,Triplicane,Average,Apartment,Not al All,Pathetic
12/1/2015 19:07:28,"Hasthinapuram,Chrompet",Bad,Individual House,Bad,Pathetic
12/1/2015 19:09:21,Villivakkam,Average,Individual House,Average,Pathetic
12/1/2015 19:09:42,Aiswariya Nagar Mel ayambakkam,Average,Individual House,Not al All,Average
12/1/2015 19:09:47,west mogappair,Bad,Individual House,Not al All,Pathetic
12/1/2015 19:09:51,Anna Nagar west ,Average,Individual House,Average,Pathetic
12/1/2015 19:12:04,Virugambakkam,Bad,Apartment,Bad,Pathetic
12/1/2015 19:12:19,Thiruvottiyur,Average,Individual House,Average,Average
12/1/2015 19:13:03,adyar,Average,Individual House,Average,Pathetic
12/1/2015 19:13:28,MYLAPORE ,Average,Individual House,Not al All,Pathetic
12/1/2015 19:14:24,tamabaram,Not at All,Huts,Not al All,Average
12/1/2015 19:14:52,Virugambakkam,Average,Apartment,Not al All,Average
12/1/2015 19:17:40,Nolambur,Bad,Apartment,Bad,Average
12/1/2015 19:20:00,cuddalore,Average,Apartment,Average,Average
12/1/2015 19:21:31,Kodambakkam,Bad,Individual House,Average,Pathetic
12/1/2015 19:23:26,Chrompet ,Average,Apartment,Bad,Average
12/1/2015 19:23:30,Mogapper Eri Scheme,Not at All,Apartment,Not al All,Average
12/1/2015 19:23:32,Mylapore,Bad,Individual House,Bad,Average
12/1/2015 19:23:43,Royapettah,Average,Individual House,Average,Average
12/1/2015 19:24:01,Triplicane ,Not at All,Individual House,Not al All,Average
12/1/2015 19:25:07,peramboor,Bad,Individual House,Bad,Pathetic
12/1/2015 19:26:15,Surapet,Not at All,Apartment,Not al All,Average
12/1/2015 19:26:15,Chengalpattu,Bad,Individual House,Average,Average
12/1/2015 19:26:25,Nanganallur,Average,Apartment,Not al All,Average
12/1/2015 19:26:55,K k nagar,Average,Apartment,Average,Average
12/1/2015 19:27:16,Pallavaram,Bad,Apartment,Average,Pathetic
12/1/2015 19:27:22,adambakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 19:28:20,Padur,Average,Apartment,Not al All,Average
12/1/2015 19:28:43,mugalivakkam,Average,Individual House,Bad,Pathetic
12/1/2015 19:29:15,Vadapalani,Bad,Apartment,Average,Pathetic
12/1/2015 19:32:20,anna nagar,Average,Apartment,Average,Good
12/1/2015 19:33:40,Mint,Average,Individual House,Not al All,Average
12/1/2015 19:33:55,Saidapet,Average,Individual House,Average,Good
12/1/2015 19:35:26,Mandaveli,Average,Individual House,Not al All,Average
12/1/2015 19:36:24,pallikaranai ,Bad,Apartment,Average,Pathetic
12/1/2015 19:36:43,choolaimedu,Bad,Individual House,Bad,Pathetic
12/1/2015 19:37:51,"Kosapet, otteri",Bad,Individual House,Average,Pathetic
12/1/2015 19:39:31,kolathur,Average,Apartment,Bad,Pathetic
12/1/2015 19:40:13,Chengalpat,Bad,Individual House,Average,Good
12/1/2015 19:40:49,villivakkam,Bad,Individual House,Average,Average
12/1/2015 19:41:38,Medavakkam,Average,Individual House,Average,Average
12/1/2015 19:41:40,Medavakkam,Average,Individual House,Average,Average
12/1/2015 19:42:01,saithapettai,Bad,Individual House,Bad,Pathetic
12/1/2015 19:42:41,guindy,Bad,Individual House,Bad,Pathetic
12/1/2015 19:43:34,Triplicane,Not at All,Apartment,Not al All,Average
12/1/2015 19:43:40,Mahakavi Bharathi Nagar,Bad,Individual House,Bad,Pathetic
12/1/2015 19:43:52,Thirumangalam,Bad,Individual House,Bad,Pathetic
12/1/2015 19:45:11,royepettah,Average,Apartment,Bad,Pathetic
12/1/2015 19:46:00,Medavakkam,Bad,Apartment,Bad,Pathetic
12/1/2015 19:46:33,Mugalivakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 19:46:44,Madipakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 19:47:24,nolumbur union road,Bad,Apartment,Average,Pathetic
12/1/2015 19:49:13,Alandur- south raja strt,Bad,Apartment,Bad,Average
12/1/2015 19:50:15,Aminjikarai ,Average,Individual House,Not al All,Average
12/1/2015 19:51:49,Adambakkam,Bad,Apartment,Bad,Pathetic
12/1/2015 19:52:30,mudichur,Bad,Apartment,Bad,Average
12/1/2015 19:58:55,natesa nagar,Average,Individual House,Not al All,Pathetic
12/1/2015 19:59:37,"Madipakkam, Kumaran Theatre",Average,Apartment,Average,Average
12/1/2015 20:00:34,Choolaimedu ,Not at All,Individual House,Not al All,Pathetic
12/1/2015 20:00:39,Kolathur,Bad,Individual House,Bad,Pathetic
12/1/2015 20:02:00,T. Nagar,Average,Apartment,Average,Pathetic
12/1/2015 20:04:39,Uthukottai,Bad,Individual House,Bad,Pathetic
12/1/2015 20:08:11,mylapore,Average,Apartment,Average,Pathetic
12/1/2015 20:09:36,Chitlapakkam,Average,Individual House,Average,Average
12/1/2015 20:09:45,Shencottai,Not at All,Individual House,Not al All,Pathetic
12/1/2015 20:10:01,avadi housing board,Bad,Individual House,Average,Pathetic
12/1/2015 20:10:02,Kottivakkam ,Bad,Huts,Average,Pathetic
12/1/2015 20:10:49,Broadway,Average,Apartment,Average,Pathetic
12/1/2015 20:11:58,West Mambalam,Bad,Individual House,Average,Pathetic
12/1/2015 20:15:00,Nanganallur,Bad,Apartment,Average,Pathetic
12/1/2015 20:17:25,porur,Average,Individual House,Average,Pathetic
12/1/2015 20:20:35,"Thirumangalam, Anna Nagar",Bad,Apartment,Bad,Pathetic
12/1/2015 20:20:48,"Thirumangalam, Anna Nagar",Bad,Apartment,Bad,Pathetic
12/1/2015 20:21:59,Kolathur,Average,Individual House,Average,Pathetic
12/1/2015 20:22:47,Mylapore,Average,Apartment,Average,Pathetic
12/1/2015 20:24:51,"Santhosh nagar extn,madanandapuram,porur,chennai ",Bad,Individual House,Bad,Average
12/1/2015 20:25:18,annanagar,Not at All,Individual House,Not al All,Average
12/1/2015 20:29:16,Tambaram ,Bad,Individual House,Average,Average
12/1/2015 20:29:55,Madipakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 20:30:50,Adyar ,Average,Individual House,Average,Pathetic
12/1/2015 20:31:31,St. Josephs Institute of technology,Bad,Apartment,Bad,Pathetic
12/1/2015 20:34:34,Mylapore,Average,Individual House,Average,Pathetic
12/1/2015 20:34:53,Mylapore,Average,Individual House,Average,Pathetic
12/1/2015 20:35:39,anna nagar,Average,Individual House,Average,Good
12/1/2015 20:36:09,"Senthil Nagar, Thirumullaivoyal",Bad,Individual House,Bad,Pathetic
12/1/2015 20:38:44,Vadapalani,Average,Individual House,Average,Pathetic
12/1/2015 20:40:28,royapuram,Not at All,Apartment,Not al All,Average
12/1/2015 20:44:01,anna nagar ,Average,Apartment,Average,Pathetic
12/1/2015 20:44:11,anna nagar ,Average,Apartment,Average,Pathetic
12/1/2015 20:44:32,Praveen,Bad,Individual House,Average,Good
12/1/2015 20:45:01,Kilpauk,Not at All,Individual House,Not al All,Pathetic
12/1/2015 20:45:11,mogappair,Bad,Apartment,Average,Average
12/1/2015 20:58:36,NANDAMBAKKAM,Average,Individual House,Average,Average
12/1/2015 20:58:46,NANDAMBAKKAM,Average,Individual House,Average,Average
12/1/2015 20:58:48,Mogappair,Average,Individual House,Average,Average
12/1/2015 20:58:52,Chinmaya Nagar ,Average,Individual House,Bad,Pathetic
12/1/2015 20:59:37,Thiruvanmiyur ,Bad,Apartment,Bad,Pathetic
12/1/2015 21:00:09,Annamala,Bad,Individual House,Bad,Pathetic
12/1/2015 21:01:37,seven wells,Not at All,Apartment,Average,Average
12/1/2015 21:02:08,Besant Nagar,Average,Apartment,Average,Average
12/1/2015 21:04:29,Gopalapuram,Average,Apartment,Average,Average
12/1/2015 21:05:10,"Nadhamuni, villivakkam,chennai",Bad,Individual House,Bad,Pathetic
12/1/2015 21:05:11,anna salai,Average,Apartment,Bad,Average
12/1/2015 21:06:43,"Senthil nagar , kolathur ",Bad,Apartment,Average,Pathetic
12/1/2015 21:07:27,velacherry,Bad,Apartment,Bad,Pathetic
12/1/2015 21:08:59,Perambur,Average,Individual House,Average,Pathetic
12/1/2015 21:09:40,Villivakkam,Average,Individual House,Average,Pathetic
12/1/2015 21:09:50,Royapettah,Not at All,Apartment,Not al All,Pathetic
